year,name,val,Country,location
2011,Fukushima,5,Japan,"37.319444, 141.021111"
2011,Onagawa,0,Japan,"38.401111, 141.499722"
2006,Forsmark,2,Sweden,"60.403333, 18.166667"
2006,Erwin,0,US,"36.145, -82.410833"
2005,Sellafield,3,UK,"54.4205, -3.4975"
2005,Atucha,2,Argentina,"-33.967519, -59.205119"
2005,Braidwood,0,US,"41.243611, -88.229167"
2003,Paks,3,Hungary,"46.5725, 18.854167"
1999,Tokaimura,4,Japan,"36.4667, 140.5667"
1999,Yanangio,3,Peru,"-11.2156, -75.4853"
1999,Ikitelli,3,Turkey,"41.0792, 28.7825"
1999,Ishikawa,2,Japan,"37.061111, 136.726389"
1993,Tomsk,4,Russia,"56.5, 84.966667"
1989,Vandellos,3,Spain,"40.951389, 0.866667"
1989,Greifswald,0,Germany,"54.140586, 13.664422"
1987,Goilnia,5,Brazil,"-16.6746, -49.2641"
1986,Chernobyl,7,Russia,"51.389553, 30.099147"
1986,Hamm-Uentrop,0,Germany,"51.679167, 7.971667"
1981,Tsuraga,2,Japan,"35.672778, 136.0775"
1979,Three Mile Island,5,US,"40.153889, -76.724722"
1977,Jaslovsk Bohunice,4,Czechoslovakia,"48.476111, 17.65"
1967,Chapelcross,0,UK,"55.01566, -3.22605"
1966,Monroe,0,US,"41.889167, -83.345556"
1964,Charlestown,0,US,"41.44, 71.69"
