Facility,location,Process,val,Current Status,year,Owner,Country,ISO country code
Atucha-1," -33.9669, -59.2086",PHWR,335,Operating,1974,Nucleoelectrica Argentina SA,Argentina,AR
Embalse," -32.2315, -64.4423",PHWR,600,Operating,1984,Nucleoelectrica Argentina SA,Argentina,AR
Armenia-2 (Metsamor)," 40.1813, 44.1472",PWR/VVER,376,Operating,1980,JSC Armenia NPP,Armenia,AM
Doel-1," 51.3227, 4.25868",PWR,392,Operating,1975,"Indivision Doel (EBES, INTERCOM, UNERG)",Belgium,BE
Doel-2," 51.3227, 4.25919",PWR,392,Operating,1975,"Indivision Doel (EBES, INTERCOM, UNERG)",Belgium,BE
Doel-3," 51.3249, 4.25658",PWR,985,Operating,1982,"Indivision Doel (EBES, INTERCOM, UNERG)",Belgium,BE
Doel-4," 51.3249, 4.25708",PWR,1001,Operating,1985,"Indivision Doel (EBES, INTERCOM, UNERG)",Belgium,BE
Tihange-1," 50.5333, 5.271",PWR,962,Operating,1975,Electrabel,Belgium,BE
Tihange-2," 50.5328, 5.271",PWR,1008,Operating,1983,Electrabel,Belgium,BE
Tihange-3," 50.5323, 5.271",PWR,1015,Operating,1985,Electrabel,Belgium,BE
Angra-1," -23.008, -44.4567",PWR,626,Operating,1985,Eletronuclear,Brazil,BR
Angra-2," -23.0065, -44.4578",PWR,1270,Operating,2001,Eletronuclear,Brazil,BR
Kozloduy-5," 43.746647, 23.769614",PWR/VVER,953,Operating,1988,National Electricity Co (NEC),Bulgaria,BG
Kozloduy-6," 43.7463, 23.7709",PWR/VVER,953,Operating,1993,National Electricity Co (NEC),Bulgaria,BG
Bruce-3," 44.3411, -81.5716",PHWR/CANDU,769,Operating,1978,Ontario Power Generation (OPG),Canada,CA
Bruce-4," 44.3416, -81.5716",PHWR/CANDU,769,Operating,1979,Ontario Power Generation (OPG),Canada,CA
Bruce-5," 44.3198, -81.588",PHWR/CANDU,785,Operating,1985,Ontario Power Generation (OPG),Canada,CA
