name,loc,val,date
9,34.0669044444443 -118.89481796,51.4444444444444,"Jan 3, 2012 8:34 AM"
799,37.7483581435126 140.462626134,157.083854818523,"May 6, 2011 9:45 AM"
1,37.673233333333 140.0666666666,48,"Feb 1, 2020 1:00 AM"
212,37.6745274685534 140.080144630,47.1698113207547,"Jan 1, 2012 1:05 AM"
367,37.731204359673 140.4743934968,172.160762942779,"Sep 14, 2011 2:25 AM"
153,37.7341519172114 140.474706187,297.928104575163,"Sep 14, 2011 2:28 AM"
424,37.743440538522 140.4802908294,278.096698113208,"May 7, 2011 3:35 PM"
209,37.7431207336523 140.486394362,296.751196172249,"Sep 14, 2011 4:14 AM"
2,38.2044283333335 140.3665575,48,"Jan 1, 2012 4:59 AM"
2,38.225205 140.379035,60,"Jan 1, 2012 5:04 AM"
5,38.233333333333 140.3707390000,45,"Jan 1, 2012 5:13 AM"
59,38.2403485593221 140.370560762,53.8983050847458,0000-00-00 00:00:00
116,37.6447848994253 140.433902227,181.827586206897,"May 25, 2011 3:51 PM"
100,37.7309006 140.4241804,112.77,"May 25, 2011 4:11 PM"
235,37.7387073262411 140.422479234,120.868085106383,"May 5, 2011 9:40 PM"
180,37.7447765740741 140.442670527,75.7555555555556,"Dec 20, 2011 12:39 AM"
472,37.752609184322 140.4626520868,182.665254237288,"May 5, 2011 9:30 PM"
46,37.7504915217392 140.524857971,309.913043478261,"Jul 3, 2011 1:16 AM"
33,37.7674530808081 140.514847878,238.909090909091,"Jul 3, 2011 1:13 AM"
324,37.5227658847736 139.916823775,64.5216049382716,"May 22, 2011 11:36 AM"
956,37.5181411907252 139.932494782,59.4602510460251,"May 22, 2011 11:39 AM"
3551,37.506503143246 139.9416383924,52.3694733877781,"Aug 8, 2011 8:48 AM"
165,37.4211064242424 140.354346272,195.733333333333,"Apr 24, 2011 2:10 PM"
141,37.4163049763594 140.362151465,205.751773049645,"Apr 24, 2011 2:13 PM"
1504,37.4085960760197 140.365647226,204.960771276596,"May 4, 2011 5:39 PM"
1,37.550586666667 139.95,44,"Jan 12, 2020 7:00 PM"
261,37.5401773499361 140.114468148,52.4022988505747,"May 22, 2011 11:06 AM"
254,37.5276989173228 139.931917066,58.7007874015748,"May 22, 2011 11:34 AM"
996,37.5180292871486 139.926644405,61.4869477911647,"May 22, 2011 11:38 AM"
1398,37.7371294945159 140.726912371,523.144492131617,"Sep 4, 2011 5:29 PM"
22,37.7478568939394 140.707630984,640.272727272727,"Sep 24, 2011 2:00 PM"
174,37.7554627873563 140.688636503,431.264367816092,"Jul 3, 2011 1:41 AM"
34,37.7555370098039 140.702102254,582.264705882353,"Jul 3, 2011 1:43 AM"
40,37.5529950833334 139.958690375,58.9,"Jul 21, 2011 11:44 AM"
91,37.536684010989 139.9606169413,58.6813186813187,"May 22, 2011 3:44 PM"
209,37.5417210287082 140.018994824,59.3923444976077,"May 22, 2011 11:28 AM"
488,37.5547906830602 139.950050611,60.2295081967213,"Jul 21, 2011 11:42 AM"
410,37.7481974918699 140.473074341,250.607317073171,"May 7, 2011 3:36 PM"
93,37.7571926164875 140.407827921,157.548387096774,"May 5, 2011 10:23 AM"
1315,37.4333843054501 140.342631070,184.857034220532,"Apr 24, 2011 1:40 PM"
1704,37.5178966881847 139.938132588,54.0592723004695,"May 22, 2011 11:40 AM"
1459,35.6493921373088 139.698719923,40.9801233721727,"Jul 5, 2011 12:02 PM"
508,35.6507445767717 139.693515774,38.9094488188976,"Jun 4, 2011 8:11 PM"
4023,35.6543247369294 139.692710005,39.016157096694,"May 22, 2011 8:35 PM"
1043,35.6517387743688 139.687852945,34.9798657718121,"May 22, 2011 8:35 PM"
585,35.6542856552706 139.689138304,35.6153846153846,"May 22, 2011 8:35 PM"
529,35.6495119344676 139.681951751,35.1304347826087,"Jun 4, 2011 8:13 PM"
612,35.6461168872549 139.680658333,37.4673202614379,"Jun 4, 2011 8:14 PM"
904,35.6463703097345 139.676992970,36.0951327433628,"Jun 4, 2011 8:15 PM"
397,35.6454664441645 139.670698324,37.5566750629723,"Jun 4, 2011 8:15 PM"
1111,35.641484428443 139.6690733363,35.2727272727273,"Jun 4, 2011 8:15 PM"
49,35.6388719727891 139.667987551,35,"Jun 4, 2011 8:16 PM"
714,35.6363812091503 139.665194799,39.6736694677871,"Jun 4, 2011 8:16 PM"
377,35.6334572236959 139.663827687,39.4827586206897,"Jun 4, 2011 8:16 PM"
639,35.6316479525299 139.658313724,37.660406885759,"Jun 4, 2011 8:17 PM"
3511,35.629568448686 139.6568744151,40.7900882939334,"Oct 12, 2011 5:23 PM"
5817,35.6271085697093 139.654191788,40.0417741103662,"Jun 4, 2011 8:17 PM"
2258,35.6246337171543 139.654452587,40.1718334809566,"Jun 5, 2011 10:37 AM"
259,35.6198125933076 139.652857992,38.0501930501931,"Jun 5, 2011 10:36 AM"
65,35.6207438974359 139.648131641,38.4153846153846,"Jun 5, 2011 10:34 AM"
65,35.6244535897436 139.649501512,40.5846153846154,"Oct 12, 2011 5:28 PM"
215,35.6281465891473 139.648468589,36.7209302325581,"Jun 4, 2011 8:17 PM"
109,35.627570795107 139.6435142354,37.1376146788991,"Jun 4, 2011 8:18 PM"
101,35.6315523927392 139.642964537,37.6039603960396,"Oct 19, 2011 5:54 AM"
