year,month,day,time,location,mag,depth
1973,01,01,034609.80,"-9.214, 150.634",5.3,41
1973,01,01,052229.80,"-15.012,-173.958",5.0,33
1973,01,01,092857.20,"-22.161, -65.792",4.8,205
1973,01,01,114237.50,"-35.513, -16.211",6.0,33
1973,01,02,005320.30,"-9.854, 117.427",5.5,66
1973,01,02,022709.20,"1.035, 126.211",5.4,61
1973,01,02,030346.70,"18.923,-104.127",4.6,33
1973,01,02,034752.50,"5.404, -82.541",5.2,30
1973,01,02,135156.70,"71.529,  -5.754",4.5,33
1973,01,02,162536,"36.085,  71.308",4.8,137
1973,01,02,222557,"31.241,  88.088",5.2,33
1973,01,02,232016.70,"71.330,  -7.551",4.7,33
1973,01,03,022942.80,"1.548, 126.305",4.8,33
1973,01,03,025816.70,"-27.716, -63.261",5.6,563
1973,01,03,041004.50,"13.466, 120.832",4.8,139
1973,01,03,143104.50,"39.114,  71.889",5.5,33
1973,01,03,150516.60,"39.119,  72.097",4.8,33
1973,01,03,203606.70,"39.043,  72.572",4.7,33
1973,01,03,211416.40,"44.344,-129.154",5.3,18
1973,01,03,211728.20,"-3.759, 151.679",4.9,41
1973,01,04,003142,"41.305, -29.272",4.5,33
1973,01,04,010750.30,"-13.382, 167.092",5.1,194
1973,01,04,080350.40,"71.109,  -7.666",5.1,33
1973,01,04,091032.40,"-59.367, -17.889",5.4,33
1973,01,04,122345.80,"14.994, 120.158",4.5,67
1973,01,05,003948.20,"0.683, -80.018",4.7,36
1973,01,05,014425.80,"49.445, -28.236",5.4,33
1973,01,05,033858.10,"25.899, -45.001",5.1,33
1973,01,05,053105.80,"33.475, 140.866",4.5,56
1973,01,05,054917.50,"35.808,  21.835",5.2,33
1973,01,05,100746.20,"5.872, 127.313",4.8,90
1973,01,05,133950.40,"48.162, 146.823",5.1,430
1973,01,05,135429.10,"-38.997, 175.232",6.2,150
1973,01,05,153919.90,"-7.046, 146.169",5.1,137
1973,01,05,212912.30,"-21.318, 175.200",5.2,620
1973,01,06,050132.40,"-21.755, 170.376",5.0,82
1973,01,06,061852.30,"-22.354, -69.310",4.9,83
1973,01,06,075814.60,"-31.515, 179.518",5.2,476
1973,01,06,095832.90,"12.276, 144.590",4.7,32
1973,01,06,112154.70,"33.273, 140.926",4.5,46
1973,01,06,125224.90,"-12.733, 166.369",4.8,54
1973,01,06,145552.80,"33.149, 140.708",4.7,61
1973,01,06,150411.90,"53.341,-162.360",4.9,33
1973,01,06,150538.50,"49.346, 155.476",4.7,34
1973,01,06,155241.90,"-14.665, 166.384",6.1,36
1973,01,06,200150.90,"33.098,  48.256",4.8,63
1973,01,06,221549.90,"-15.496, 167.487",5.3,123
1973,01,07,010457.20,"6.856, -73.074",5.1,160
1973,01,07,013213,"-21.878, 170.368",4.7,66
1973,01,07,121712.60,"5.266,  36.849",4.9,34
1973,01,07,124211.10,"17.279, 119.968",4.8,77
1973,01,07,153000.40,"-6.237, 151.802",4.8,33
1973,01,07,193023.90,"-24.193, 179.547",4.5,561
1973,01,07,221702.60,"5.683, 127.304",5.1,79
1973,01,08,043626.40,"13.593,  57.347",5.0,33
1973,01,08,060041.20,"19.238, 145.399",4.6,191
1973,01,08,083240.80,"17.661, -94.425",4.6,163
1973,01,08,095846.60,"14.325, -98.122",4.6,33
1973,01,08,102425.30,"-20.147,-179.005",4.7,653
1973,01,08,211011.20,"-24.359,-177.262",4.7,154
1973,01,09,061425.30,"6.983, 126.151",5.3,51
1973,01,09,115721,"60.311,-145.996",4.8,18
1973,01,09,161755.20,"39.514,  73.673",4.9,33
1973,01,09,170755.50,"51.405,-178.212",5.1,52
1973,01,09,210853.10,"-5.385, 142.394",4.6,33
1973,01,10,030232.10,"32.641,  68.332",4.8,18
1973,01,10,032411.70,"37.758,  21.341",5.0,41
1973,01,10,043531.80,"6.354, 126.882",4.8,83
1973,01,10,105541.70,"-6.972, 129.940",4.7,91
1973,01,10,113227.40,"-11.096, 162.279",6.0,32
1973,01,10,114643.70,"-11.187, 162.251",5.9,32
1973,01,10,200927.20,"8.970, -84.026",4.8,33
1973,01,11,021227.50,"52.101,-169.605",5.4,30
1973,01,11,025211.40,"52.001,-169.781",4.7,56
1973,01,11,065051.80,"12.174, -76.865",4.5,33
1973,01,11,123402.10,"-13.857, 168.942",4.5,44
1973,01,12,031133.10,"-54.358,   5.297",5.7,33
1973,01,12,031602.80,"-54.408,   5.357",5.7,33
1973,01,12,040126.30,"-54.388,   5.187",5.1,33
1973,01,12,084532.80,"-5.608, 154.362",4.5,111
1973,01,12,233925.90,"35.992,  70.581",5.2,126
1973,01,13,010037.60,"51.768,-176.998",5.4,61
1973,01,13,023912.20,"-4.832, 144.108",5.0,105
1973,01,13,060542.40,"-16.808,  28.367",5.0,33
1973,01,13,111020.40,"-2.696, 101.270",5.2,105
1973,01,13,133628.30,"51.738,-176.983",4.7,58
1973,01,13,141441.10,"25.581,  63.895",5.0,50
1973,01,13,215822,"51.774, 176.258",5.0,52
1973,01,13,220350.90,"59.705, 163.160",4.8,33
1973,01,14,085518.10,"14.812, -45.091",4.6,33
1973,01,14,085728.50,"14.773, -45.089",5.0,33
1973,01,14,111445.10,"-14.213, 167.240",4.6,198
1973,01,14,133659.80,"-6.854,  30.302",4.5,33
1973,01,14,170713.40,"-4.872, 151.554",4.5,157
1973,01,14,200855.40,"-38.284, 176.260",5.2,174
1973,01,15,015314.60,"45.956, 142.666",5.1,354
1973,01,15,032047.30,"-20.930, 169.774",5.1,82
1973,01,15,062731,"-15.713, -75.082",4.5,43
1973,01,15,090258.30,"27.081, 140.103",6.0,477
1973,01,15,091410.70,"27.090, 140.028",5.1,478
